[2026-03-03T08:06:06.679+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline.extract_timesheets manual__2026-03-03T08:06:04.255902+00:00 [queued]>
[2026-03-03T08:06:26.262+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:06:26.514+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:06:26.752+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:06:27.015+0000] {extract_bronze.py:88} INFO - Loaded 4921 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T08:06:27.398+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:27.598+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:27.799+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:28.004+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:28.213+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:28.410+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:28.615+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:28.828+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:29.302+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:29.502+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:29.713+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:29.736+0000] {extract_bronze.py:88} INFO - Loaded 435 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T08:06:30.022+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:06:30.288+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T08:06:30.542+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
