[2026-03-03T17:31:08.020+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline.extract_timesheets manual__2026-03-03T17:31:02.198747+00:00 [queued]>
[2026-03-03T17:31:33.901+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T17:31:34.227+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T17:31:34.598+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T17:31:34.865+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T17:31:35.106+0000] {extract_bronze.py:88} INFO - Loaded 4921 rows from /opt/airflow/data/timesheets/timesheet_202509151540.csv to staging_timesheet
[2026-03-03T17:31:35.457+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:35.681+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:35.909+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:36.127+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:36.345+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:36.566+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:36.842+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:37.093+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:37.640+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:37.886+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:38.118+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:38.144+0000] {extract_bronze.py:88} INFO - Loaded 435 rows from /opt/airflow/data/timesheets/timesheet_202510161122.csv to staging_timesheet
[2026-03-03T17:31:38.507+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T17:31:38.828+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T17:31:39.340+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T17:31:39.942+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T17:31:40.263+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T17:31:40.560+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T17:31:40.784+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T17:31:41.030+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T17:31:41.533+0000] {extract_bronze.py:88} INFO - Loaded 5000 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T17:31:41.703+0000] {extract_bronze.py:88} INFO - Loaded 3258 rows from /opt/airflow/data/timesheets/timesheet_202510161121.csv to staging_timesheet
[2026-03-03T17:31:41.703+0000] {extract_bronze.py:93} INFO - Total timesheet rows loaded: 412571
[2026-03-03T17:31:41.704+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-03-03T17:31:41.726+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=etl_pipeline, task_id=extract_timesheets, execution_date=20260303T173102, start_date=20260303T173108, end_date=20260303T173141
[2026-03-03T17:31:41.768+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-03-03T17:31:41.818+0000] {taskinstance.py:3280} INFO - 1 downstream tasks scheduled from follow-on schedule check
